HED KANDI,2008-10-25,23:00,2008-10-26,06:00,420.0,Hotel Arena,'s-gravesandestraat 51,52.360576,4.915968,,,,,"[PHIL FAVERSHAM, CARL HANAGHAN, STEVEN QUARRE, MARNIX, BAGGI BEGOVIC, PETER KAN, FOUNTAIN, J-HARLEM, MC LEX EMPRESS, SAXY MR. S.]",false,false
BODY MUSIC INVITES SNEAKERS MUSIC,2008-10-25,23:00,2008-10-26,05:30,390.0,Jimmy Woo,Korte Leidsedwarsstraat 18,52.364116,4.883464,12.00,12.00,550,,"[RON CARROLL, BELOCCA & SONEEC, MUZZAIK, BART B MORE, GROOVENATICS, RISK SOUND SYSTEM, ERIC FENDER]",false,false
K-SPACE SESSIONS,2008-10-25,17:00,2008-10-25,21:30,270.0,K-space,Nieuwezijds Voorburgwal 262,52.371612,4.890314,0.00,0.00,,,,false,false
SUPERRAUW,2008-10-25,22:00,,,,Melkweg,Lijnbaansgracht 234a,52.364837,4.881273,17.00,17.00,,,,false,false
GIRLSLOVEDJ'S,2008-10-25,23:00,2008-10-26,05:00,360.0,Odeon Theater,Singel 460,,,14.00,14.00,,"[ECLECTIC, FUNK]","[THE FLEXICAN, TOMDAMIENLO, LARS VEGAS & VANILLA NICE, JIM AASGIER, DVDJS OFF THE WALL, MISSING LINKS, RUBYWAX, PHONIC FUNK, NIZZLE, RUBIX, GRAND JACKSON, VAGE GASTEN DJ-TEAM]",false,false
GO DUTCH,2008-10-25,22:00,2008-10-26,04:00,360.0,Panama,Oostelijke Handelskade 4,52.374931,4.930309,15.00,20.00,1000,,,false,false
FLAMINGO NIGHTS,2008-10-25,23:00,2008-10-26,05:00,360.0,Paradiso,Weteringschans 6-8,52.362277,4.883945,20.00,25.00,1300,[FUNK],"[KEVIN SAUNDERSON, FEDDE LE GRAND, FUNKERMAN, WALLY LOPEZ, PATRIC LA FUNK, BJÖRN WOLF, JOHNSTAR, CAMILLE JONES, DOROTHY & ANDY SHERMAN, I-FAN, MC GEE, MOUSSE T, RULERS OF THE DEEP, MARK ROBINSON, PEAVY, SAMIR MASLO, SHIK STYLKÖ]",false,false
REMINISCE,2008-10-25,23:00,2008-10-26,05:00,360.0,Partyship Ocean Diva,Meestal Ergens In Amsterdam,,,20.00,20.00,1450,"[SWINGBEAT, DANCE CLASSICS, 80IES, POP, HIP HOP, LATIN HOUSE]","[MAN!E, BENJAMIN BROWN, MC PRYME]",false,false
FRANKLIN REEVES INVITES,2008-10-25,22:00,2008-10-26,04:00,360.0,Rain,Rembrandtplein 44,52.365901,4.897413,12.00,12.00,,,"[MARNIX, DAVE MAYER, FRANKLIN REEVES, WHEN HARRY MET SALLY, TESS, JACOB CHEVAILIER, THOMAS HENSBROEK COLLECTIVE]",false,false
SUPPLEMENT FACTS LABELDAY,2008-10-25,10:00,2008-10-25,20:00,600.0,De Kroon,Rembrandtplein 17,52.366253,4.897123,10.00,12.50,,"[HOUSE, TECHNO]","[DANIEL STEFANIK, DAVID K, DRRIE, REBOOT, UNDERS, VAROSLAV, VERY SPECIAL GUEST]",false,false
BLA BLA MEETS WELCOME TO THE FUTURE,2008-10-25,23:00,2008-10-26,06:00,420.0,De Kroon,Rembrandtplein 17,52.366253,4.897123,15.00,15.00,400,"[HOUSE, MINIMAL, TECHNO, TECHHOUSE, ELECTRO]","[MIKAEL STAVASTRAND, GIMIKK, ONUR OZER, HILBERT IN HIFI, JOBEZ, FLORIAN RATH & MATTHIJS GROOS, TONY BOOGS]",false,false
VRIJBUITERS GO BERLIN UNDERGOUND,2008-10-25,22:00,2008-10-26,11:00,780.0,Studio/k,Timorplein 62,52.365581,4.935035,12.00,12.00,,,,false,false
ELECTRONATION PRESENTS,2008-10-25,23:00,2008-10-26,05:00,360.0,Sugarfactory,Lijnbaansgracht 238,52.364798,4.881735,,,450,,"[JOHN DAHLBÄCK, IDA, GBERG, OLIVER HUNTEMANN, TERRY TONER, STYLE OF EYE]",false,false
K-SPACE SESSIONS CLOSING PARTY,2008-10-25,22:00,2008-10-26,03:00,300.0,Supper,Jonge Roelensteeg 21,52.367547,4.888833,10.00,10.00,,[HOUSE],"[BEN WATT, JUSTIN MARTIN, NICOLAS MATAR, WEBSTER]",false,false
SPECIAL: LOVELIFE & VINYLCRU,2008-10-25,22:00,2008-10-26,03:00,300.0,The Mansion,Hobbemastraat 2,52.361452,4.882344,10.00,10.00,,"[BASSLINE GARAGE, UK GARAGE]","[ARTFUL DODGER, CHOCOLATE PUMA, RECKI B, G-DOUBLE-E, ANDY CALLISTER, VINYL CRU, MC DART, MC SPYDER, MC RANKIN, MC SPEE & MC EXCELLENCE]",false,false
ERICK MORILLO: SUBLIMINAL SESSIONS CARNIVALE,2008-10-25,23:00,2008-10-26,10:00,660.0,The Powerzone,Daniel Goedkoopstr. 1-3,52.343369,4.918505,30.00,30.00,3500,,,false,false
CONTAKT,2008-10-25,22:00,2008-10-26,06:00,480.0,The Sand,Rhoneweg 36/1,52.390402,4.824743,35.00,40.00,3000,[TECHNO],"[RICHIE HAWTIN, MAGDA, TROY PIERCE, MARC HOULE, HEARTTHROB, JON GAISER, BAREM, KONRAD BLACK, BAREM]",false,false
